Producto,,,,,,,,,,,,,,,
Judía Xera,660,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Emerite,400,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,170,163,156,152,147,146,144,141,139,null,null,null,null,null,null
Calabacín Gordo,115,108,95,88,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela M,36,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,82,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,67,60,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null
