Producto,,,,,,,,,,,,,,,
Tomate L. Vida 9-GG,138,136,134,132,130,128,126,124,120,null,null,null,null,null,null
Tomate L. Vida 8-G,134,132,130,128,126,124,120,118,80,null,null,null,null,null,null
Tomate L. Vida 7-M,102,100,98,96,94,92,90,88,72,null,null,null,null,null,null
Tomate L. Vida 6-MM,64,62,60,58,56,54,52,50,48,null,null,null,null,null,null
Tomate Rama G,96,94,92,90,88,86,84,82,80,78,null,null,null,null,null
Tomate Rama M,94,92,90,88,86,84,82,80,78,70,null,null,null,null,null
Tomate Pera MM,70,67,64,61,58,55,52,49,46,20,null,null,null,null,null
Tomate Pera M,98,96,94,92,90,88,86,84,82,60,null,null,null,null,null
