Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate L. Vida 9-GG,0.50,0.48,0.46,0.44,0.42,0.40,0.38,0.36,0.34,0.30,null,null,null,null,null,null
Tomate L. Vida 8-G,0.46,0.44,0.42,0.40,0.38,0.36,0.34,0.30,0.28,0.80,null,null,null,null,null,null
Tomate L. Vida 7-M,0.10,0.12,0.10,0.98,0.96,0.94,0.92,0.90,0.88,0.72,null,null,null,null,null,null
Tomate L. Vida 6-MM,0.69,0.64,0.62,0.60,0.58,0.56,0.54,0.52,0.50,0.48,null,null,null,null,null,null
Tomate Rama G,1.05,0.96,0.94,0.92,0.90,0.88,0.86,0.84,0.82,0.80,0.78,null,null,null,null,null
Tomate Rama M,1.03,0.94,0.92,0.90,0.88,0.86,0.84,0.82,0.80,0.78,0.70,null,null,null,null,null
Tomate Pera MM,0.75,0.70,0.67,0.64,0.61,0.58,0.55,0.52,0.49,0.46,0.20,null,null,null,null,null
Tomate Pera M,1.08,0.98,0.96,0.94,0.92,0.90,0.88,0.86,0.84,0.82,0.60,null,null,null,null,null
