Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,1.51,1.40,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,1.03,0.96,0.93,0.88,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.85,0.83,0.76,0.72,0.65,0.61,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,0.75,0.74,0.68,0.63,0.58,null,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,0.21,0.27,1.05,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.41,0.42,0.37,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.14,0.14,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.99,0.93,0.84,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,0.41,0.46,0.39,0.31,0.25,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.21,0.25,0.21,0.15,0.99,0.93,null,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.29,0.34,0.26,0.21,0.14,null,null,null,null,null,null,null,null,null,null,null
