Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Xera,1.27,1.20,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Emerite,0.40,0.40,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.80,0.80,0.73,0.66,0.62,0.57,0.56,0.54,0.51,0.49,null,null,null,null,null,null
Calabacín Gordo,0.16,0.25,0.18,0.95,0.88,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela M,0.40,0.36,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,0.92,0.82,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,0.70,0.67,0.60,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.17,0.17,null,null,null,null,null,null,null,null,null,null,null,null,null,null
