Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,0.85,1.03,0.88,1.48,1.36,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,1.25,1.18,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Mini,0.52,0.56,0.41,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,1.00,0.89,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.39,0.40,0.33,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,0.19,0.20,0.16,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.70,0.73,0.63,0.56,0.51,null,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,0.70,0.68,0.64,0.60,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.75,0.74,0.69,0.66,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela,0.40,0.36,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Palermo,0.37,0.36,0.32,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.25,0.31,0.25,0.17,0.13,0.99,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.34,0.43,0.22,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.12,0.20,0.12,0.96,0.93,0.88,0.86,null,null,null,null,null,null,null,null,null
Pimiento California verde,0.47,0.43,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.30,0.33,0.29,0.24,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.25,0.35,0.25,0.13,null,null,null,null,null,null,null,null,null,null,null,null
