Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.84,0.81,0.76,0.70,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.47,0.52,0.42,0.35,0.24,null,null,null,null,null,null,null,null,null,null,null
Pepino Almería,0.11,0.15,0.97,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.71,0.71,0.65,0.60,0.53,0.48,null,null,null,null,null,null,null,null,null,null
Calabacín Gordo,0.69,0.71,0.64,0.56,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.49,0.54,0.46,0.40,0.37,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,1.11,0.99,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Palermo,0.28,0.33,0.20,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.17,0.25,0.16,0.10,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.24,0.30,0.23,0.18,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.12,0.20,0.11,0.95,0.88,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,0.33,0.40,0.32,0.21,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.31,0.35,0.29,0.25,0.19,null,null,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.33,0.40,0.32,0.23,null,null,null,null,null,null,null,null,null,null,null,null
