Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Stryke,0.50,0.49,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.85,0.76,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.47,0.48,0.43,0.39,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.74,0.71,0.67,0.64,0.61,0.59,0.56,null,null,null,null,null,null,null,null,null
Berenjena Rayada,0.27,0.29,0.25,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.66,0.64,0.62,0.59,0.55,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,0.49,0.44,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,0.72,0.69,0.65,0.60,0.57,0.54,0.52,0.49,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.25,0.28,0.25,0.21,0.16,0.13,0.10,0.97,0.95,0.92,null,null,null,null,null,null
Pimiento Italiano rojo,0.79,0.74,0.68,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.30,0.32,0.28,0.24,0.22,0.19,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.16,0.23,0.16,0.11,0.97,0.90,0.87,0.86,0.83,0.81,0.78,null,null,null,null,null
Pimiento California verde,0.46,0.47,0.42,0.37,0.27,0.20,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.28,0.32,0.26,0.20,0.15,0.11,0.96,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.30,0.32,0.28,0.25,null,null,null,null,null,null,null,null,null,null,null,null
