Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,0.50,0.50,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,0.84,0.81,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Stryke,0.84,0.81,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.79,0.76,0.71,0.66,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.28,0.31,0.26,0.21,0.16,0.11,null,null,null,null,null,null,null,null,null,null
Pepino Almería,0.17,0.20,0.14,null,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.96,0.92,0.88,0.82,0.76,0.69,0.64,null,null,null,null,null,null,null,null,null
Calabacín Gordo,0.80,0.76,0.73,0.70,0.64,null,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,0.63,0.59,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.76,0.73,0.71,0.68,0.63,0.59,0.52,0.46,0.43,null,null,null,null,null,null,null
Tomate Daniela,0.26,0.25,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,0.86,0.92,0.62,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento avenado,0.34,0.31,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.19,0.26,0.17,0.12,0.99,0.95,0.92,null,null,null,null,null,null,null,null,null
Pimiento Italiano rojo,0.61,0.55,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.25,0.31,0.24,0.17,0.14,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.10,0.16,0.99,0.95,0.91,0.85,0.82,null,null,null,null,null,null,null,null,null
Pimiento California verde,0.58,0.56,0.53,0.50,0.47,0.42,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.25,0.30,0.23,0.21,0.18,0.14,0.11,0.97,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.31,0.34,0.30,0.25,0.23,0.22,null,null,null,null,null,null,null,null,null,null
