Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,0.52,0.87,1.07,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona semi,1.30,1.20,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,1.20,1.35,1.10,0.94,null,null,null,null,null,null,null,null,null,null,null,null
Judía Rastra,1.54,1.47,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Stryke,1.02,1.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.87,0.81,0.75,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.59,0.58,0.54,0.50,0.46,0.41,null,null,null,null,null,null,null,null,null,null
Pepino Almería,1.02,0.96,0.91,0.87,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.93,0.89,0.84,0.81,0.79,0.75,0.70,null,null,null,null,null,null,null,null,null
Calabacín Gordo,0.80,0.79,0.73,0.68,0.62,0.59,null,null,null,null,null,null,null,null,null,null
Calabacín Blanco,1.12,1.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Berenjena Rayada,0.32,0.41,0.30,0.22,1.06,null,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.38,0.41,0.36,0.32,0.30,0.28,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.30,0.28,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.10,0.18,0.10,0.94,0.86,0.82,0.78,0.75,0.72,null,null,null,null,null,null,null
Pimiento California verde,0.41,0.46,0.38,0.30,0.26,null,null,null,null,null,null,null,null,null,null,null
Pimiento California rojo,0.22,0.25,0.22,0.18,0.13,0.97,0.91,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.44,0.46,0.42,0.37,null,null,null,null,null,null,null,null,null,null,null,null
