Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Rambo,0.95,0.95,0.85,0.80,0.75,0.70,0.65,0.60,0.55,0.50,0.45,0.40,0.30,null,null,null
Tomate Rebelión,0.53,0.55,0.50,0.45,0.40,0.35,null,null,null,null,null,null,null,null,null,null
Tomate Raf,1.27,1.30,1.20,1.10,0.30,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela,1.11,0.12,0.99,0.96,0.93,0.90,0.87,0.84,0.15,null,null,null,null,null,null,null
Tomate Daniela G,0.55,0.53,0.50,0.47,0.44,0.41,0.38,0.35,0.32,0.74,null,null,null,null,null,null
Tomate Daniela GG,0.50,0.51,0.45,0.42,0.39,0.36,0.33,0.30,0.27,0.24,0.80,null,null,null,null,null
Tomate Daniela M,0.28,0.29,0.26,0.23,0.20,0.17,0.14,0.11,0.98,0.95,0.92,0.62,null,null,null,null
Tomate Daniela MM,0.84,0.75,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Rama MM,0.82,0.76,0.73,0.70,0.67,null,null,null,null,null,null,null,null,null,null,null
Tomate Rama C,0.11,0.14,0.11,0.98,0.95,0.92,0.89,0.86,0.83,0.80,0.77,0.74,0.71,0.68,0.15,null
Tomate Beef,0.65,0.65,0.60,0.55,0.50,0.40,0.30,0.20,1.00,0.20,null,null,null,null,null,null
Tomate Negro,0.94,0.90,0.85,0.80,0.75,0.15,null,null,null,null,null,null,null,null,null,null
