Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tirabeques,0.91,1.02,0.76,null,null,null,null,null,null,null,null,null,null,null,null,null
Guisantes,1.16,1.12,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Garrofón,1.10,1.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Xera,1.36,1.52,1.07,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,0.80,1.12,0.80,1.36,1.06,1.48,1.34,1.00,0.84,0.72,0.56,null,null,null,null,null
Judía Perona roja,1.15,1.50,0.69,null,null,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.84,0.79,0.75,0.71,0.67,null,null,null,null,null,null,null,null,null,null,null
Pepino Español,0.58,0.59,0.52,0.48,0.40,0.36,0.27,0.24,null,null,null,null,null,null,null,null
Pepino Almería,0.12,0.15,0.12,0.10,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.75,0.72,0.68,0.66,0.64,0.60,0.57,0.55,0.53,0.52,0.49,null,null,null,null,null
Calabacín Gordo,0.88,0.85,0.81,0.76,0.72,0.70,0.68,0.66,0.64,0.62,0.60,null,null,null,null,null
Berenjena Rayada,0.50,0.52,0.47,0.42,0.38,0.34,null,null,null,null,null,null,null,null,null,null
Berenjena Larga,0.58,0.58,0.55,0.51,0.48,0.45,0.41,0.40,0.38,null,null,null,null,null,null,null
Tomate Pera,0.81,0.75,0.69,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Palermo,0.31,0.34,0.25,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.39,0.45,0.35,0.30,0.22,0.16,0.12,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.39,0.41,0.38,0.30,0.27,0.24,0.21,0.18,0.13,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.15,0.20,0.14,0.11,0.98,0.96,0.94,0.92,0.90,0.88,0.86,0.84,0.83,null,null,null
Pimiento California verde,0.44,0.45,0.41,0.37,0.30,0.25,0.20,0.17,0.14,0.12,null,null,null,null,null,null
Pimiento California rojo,0.38,0.37,0.35,0.33,0.29,0.26,0.23,0.20,0.18,0.17,null,null,null,null,null,null
Pimiento California amarillo,0.42,0.43,0.39,0.36,0.34,0.30,0.27,0.21,null,null,null,null,null,null,null,null
