Producto,Media 3 Primeros,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tirabeques,1.52,1.42,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Garrofón,0.93,0.86,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Tabella,0.74,1.26,1.12,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Helda,1.01,1.26,0.96,0.72,1.32,1.08,0.78,1.44,1.26,1.14,1.02,0.84,null,null,null,null
Judía Perona semi,1.37,1.40,1.16,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Perona roja,0.80,0.98,0.82,1.44,1.26,1.06,0.86,0.72,null,null,null,null,null,null,null,null
Judía Rastra,1.48,1.42,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Judía Stryke,1.38,1.74,1.56,1.56,1.22,0.96,0.70,1.28,0.96,0.66,null,null,null,null,null,null
Judía Emerite,0.40,0.64,0.40,1.06,0.82,null,null,null,null,null,null,null,null,null,null,null
Pepino Francés,0.88,0.82,0.79,0.76,0.73,0.71,0.69,null,null,null,null,null,null,null,null,null
Pepino Español,0.64,0.61,0.58,0.55,0.50,0.42,0.38,0.29,0.25,null,null,null,null,null,null,null
Pepino Almería,0.14,0.18,0.14,0.11,null,null,null,null,null,null,null,null,null,null,null,null
Calabacín Fino,0.85,0.82,0.77,0.73,0.70,0.67,0.64,0.61,0.58,0.55,0.51,null,null,null,null,null
Calabacín Gordo,0.85,0.82,0.77,0.72,0.68,0.65,0.62,0.57,0.54,null,null,null,null,null,null,null
Berenjena Rayada,0.71,0.78,0.67,0.54,0.45,0.39,0.33,0.29,0.25,null,null,null,null,null,null,null
Berenjena Larga,0.87,0.85,0.80,0.75,0.72,0.66,0.60,null,null,null,null,null,null,null,null,null
Tomate Liso,0.77,0.74,0.69,0.65,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Daniela,0.99,0.91,0.85,null,null,null,null,null,null,null,null,null,null,null,null,null
Tomate Ramo,1.01,0.94,0.90,0.86,0.81,null,null,null,null,null,null,null,null,null,null,null
Tomate Pera,0.82,0.79,0.73,0.69,0.64,0.62,0.60,null,null,null,null,null,null,null,null,null
Pimiento Italiano verde,0.42,0.48,0.39,0.31,0.27,0.23,0.19,0.16,0.12,0.99,0.96,0.93,null,null,null,null
Pimiento Italiano rojo,0.15,0.40,0.11,0.86,0.78,0.72,0.66,null,null,null,null,null,null,null,null,null
Pimiento Lamuyo verde,0.40,0.51,0.35,0.26,0.22,0.98,0.94,0.92,0.90,null,null,null,null,null,null,null
Pimiento Lamuyo rojo,0.14,0.21,0.13,0.99,0.95,0.87,0.84,0.82,0.80,0.78,0.76,0.74,0.72,0.71,null,null
Pimiento Lamuyo amarillo,0.64,0.65,0.51,null,null,null,null,null,null,null,null,null,null,null,null,null
Pimiento California verde,0.39,0.43,0.36,0.30,0.26,0.22,0.17,0.13,null,null,null,null,null,null,null,null
Pimiento California rojo,0.28,0.31,0.27,0.22,0.16,0.10,0.96,null,null,null,null,null,null,null,null,null
Pimiento California amarillo,0.50,0.51,0.47,0.40,0.36,0.30,0.28,null,null,null,null,null,null,null,null,null
